time,transactions,batch_throughput_TPS,avg_tx_duration_ms
3113, 100, 27.10, 36.93
3116, 100, 27.39, 36.50
3120, 100, 26.59, 37.69
3124, 100, 27.10, 36.96
3127, 100, 27.10, 36.92
3131, 100, 27.24, 36.76
3135, 100, 27.32, 36.66
3139, 100, 26.80, 37.36
3142, 100, 27.32, 36.66
3146, 100, 27.24, 36.72
3150, 100, 26.66, 37.56
3153, 100, 26.80, 37.35
3157, 100, 27.39, 36.55
3161, 100, 27.32, 36.61
3164, 100, 27.54, 36.34
3168, 100, 26.66, 37.50
3172, 100, 27.02, 37.06
3176, 100, 27.02, 37.00
3179, 100, 27.62, 36.28
3183, 100, 26.88, 37.20
3187, 100, 26.95, 37.17
3190, 100, 27.32, 36.69
3194, 100, 27.39, 36.52
3198, 100, 27.17, 36.84
3201, 100, 27.47, 36.49
3205, 100, 27.70, 36.17
3209, 100, 26.95, 37.18
3212, 100, 26.52, 37.70
3216, 100, 26.38, 37.92
3220, 100, 27.77, 36.06
3224, 100, 26.45, 37.84
3227, 100, 27.54, 36.30
3231, 100, 27.17, 36.82
3235, 100, 27.17, 36.89
3238, 100, 27.62, 36.25
3242, 100, 27.32, 36.69
3246, 100, 26.95, 37.13
3249, 100, 27.47, 36.48
3253, 100, 26.45, 37.81
3257, 100, 26.95, 37.16
3261, 100, 27.02, 37.06
3264, 100, 27.77, 36.00
